0,2
1,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,1
18,2
19,2
20,1
21,2
22,2
23,1
24,2
25,2
26,2
27,3
28,3
29,2
30,2
31,2
32,1
33,2
34,3
35,2
36,1
37,2
38,2
39,1
40,2
41,2
42,1
43,2
44,2
45,2
46,2
47,2
48,1
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,1
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,1
69,2
70,2
71,1
72,2
73,2
74,1
75,2
76,2
77,1
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,3
91,3
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
Average,1
